"time","remaining","complete","cost"
6.579000,,1,
7.229000,,2,
7.335000,,3,
7.456000,,4,
7.591000,,5,
7.701000,,6,
8.003000,,7,
8.639000,,8,
10.603000,,9,
10.698000,,10,
10.894000,,11,
11.729000,,12,
12.645000,,13,
13.393000,,14,
14.470000,,15,
14.492000,,16,
15.527000,,17,
16.183000,,18,
17.932000,,19,
18.134000,,20,
27.127000,,21,
29.615000,,22,
32.399000,,23,
32.827000,,24,
37.302000,,25,
39.923000,,26,
96.724000,,26,7
98.556000,79,27,7
101.990000,78,28,7
106.655000,77,29,7
112.198000,77,29,6
114.233000,56,30,6
114.460000,55,31,6
118.838000,54,32,6
123.663000,53,33,6
125.398000,52,34,6
127.438000,51,35,6
131.806000,50,36,6
159.496000,49,37,6
172.600000,48,38,6
174.620000,47,39,6
176.921000,46,40,6
178.300000,45,41,6
180.391000,44,42,6
196.143000,43,43,6
197.954000,42,44,6
200.266000,41,45,6
207.131000,40,46,6
245.505000,39,47,6
279.599000,38,48,6
281.476000,37,49,6
283.607000,36,50,6
289.482000,35,51,6
314.304000,34,52,6
413.842000,33,53,6
415.797000,32,54,6
418.193000,31,55,6
422.608000,30,56,6
428.187000,29,57,6
430.229000,28,58,6
432.779000,27,59,6
436.695000,26,60,6
513.936000,25,61,6
515.857000,24,62,6
518.119000,23,63,6
524.635000,22,64,6
536.657000,21,65,6
538.625000,20,66,6
540.877000,19,67,6
541.691000,18,68,6
544.197000,17,69,6
546.286000,16,70,6
548.698000,15,71,6
552.198000,14,72,6
577.689000,13,73,6
579.627000,12,74,6
582.583000,11,75,6
589.576000,10,76,6
600.363000,9,77,6
602.986000,8,78,6
624.468000,7,79,6
640.584000,6,80,6
686.331000,5,81,6
1019.031000,4,82,6
1059.683000,3,83,6
1080.516000,2,84,6
1145.676000,1,85,6
1740.013000,0,86,6
